text,label
"The rest of Xero has excellent sort, filter and search options, but these don't exist in Expenses. It is therefore extremely hard to find or navigate submitted expenses using the current layout and functions. Please can you give us an update as to when this functionality will be made available.",3
Please do this - it can't be difficult!,1
"Hi Xero,

Any update on this? would be highly appreciated if this can get sorted out asap. we produce loads of items and every month there are cost prices which need to be adjusted. now we have to adj the stock on hand cost price per item. which is very time consuming.",2
"Hello,

Coming up 8 months since the last update on where this is headed. I understand a large amount of businesses wouldn't need this feature but for the ones that do, its entirely necessary to run. Even just being able to delete all current items recorded in stock then reuploading a new list of items would be a tremendous amount faster.

Is there any update on this?

Thank you,
Mike",2
"I keep getting emails from Xero about how to improve their inventory. The Inventory ""system"" in Xero is almost infantile. This is a prime example. It is unbelievable in 2025 that bulk inventory adjustments remain unavailable, particularly when users have been complaining (by this thread) for 3 years. It is not rocket science. Xero might as well say they do not have an inventory system as it is missing so many basic features as to be virtually unusable.",1
"I am right in saying that you can do bulk Ventory importation of cost price and sales price, but not bulk stock quantity?

What is difference??

In the meantime we are forced to upload 2600 items manually, which is TIME consuming.",1
"Hello Kelly,

As stocktake time nears, I am wondering how progress on this vital issue is going. I do not wish to waste the time required to go into every item and my bosses do not wish to pay overtime for this to happen either. Please help!",1
"After having multiple Xero support hook ups about this issue it seems I was not alone. Not sure why Xero went through days of support just to send me to this thread. Whilst support were determined to help it seems they were none the wiser to this issue either?

If it is a known lack of ability in the system then I would suggest Xero specifically mentions this in the product pages so we don't go around in circles trying to work out what as users we might be doing wrong. Once Xero developers complete this vital function to bulk upload and adjust all inventory features, then tell us it is possible. 

I also note it has been almost a year since the announcement it is being worked on. Come on Xero. You're a global company. Chop chop.",1
"I'm moving to Xero from MYOB. I've exported my items from MYOB but don't understand why I can't just setup the column with the qty to be able to import them into Xero. It would make the transition so much easier but now I have to perform additional steps to do this or do I have to manually go into each item to update it?
I thought this would have been such a simple thing to do. MYOB enables quite a number of fields to be imported.
Also, why does it only allow CSV or TXT files and not spreadsheets to be imported? CSV files don't always format correctly so it requires more work to ensure they are correct.",1
What would be handy is daily automatic stock updates from Square Retail to Xero. The same as how your daily sales are sent to Xero but include current stock quantities as well.,2
"Fantastic to see this has now been released onto at least one of my clients!!!

One thing I have noticed however and gives room for further improvement is that not all clients run stock adjustments through a single account code. 

It would be great to have the ability to identify the account code for the adjustment in the table with the product items and not just in the header of the form.

Regardless this is a great step forward and a timesaver.",4
This function isnt working. Do you have any issues with it ?,1
"Bills - Ability to auto fill accounting code and tracking category when there are multiple lines. At present if you are entering a bill with say 10 lines, you have to click into each line, select the GL code and tracking category and this takes lots of time. We need the lines split out for job purposes to see quantities etc so cant just enter as one bulk line. Sometimes 9 lines might be one code and 1 line another so its important to not only be able to auto fill but to then be able to edit or change the odd line also.",2
"This is going to become a far bigger issue with the expansion of STP2 - anything that can be done to mitigate payroll errors is highly valuable.  While payroll reporting is one of the issues compromised if an ABN changes in a file, there are other issues that can occur as well.  Best practice drives a single ABN to a single Xero file.  Trying to manipulate a Xero file across 2 ABNs is fraught, and false economy",1
100% and so important with STP Phase 2 coming!,2
"I believe this is critical. There have been so many questions about needing to start a new file for a new entity. This will lock it in. With the new STP2 requirements it would be a nightmare to fix when a client does the wrong thing. 
I don’t believe it would be difficult to program.",1
Love this! So many small businesses come to me after having done this and it is a mess!,4
"Having had the experience of trying to fix and relodge STP finalisation for a client who went ahead and changed ABN and then continued filing payroll under new ABN, this is very important. It was a very painful and fiddly process to fix this in the small window between payruns. I hope never to do this again, no matter how much the client pays me.",1
"BUT, it would help if we could CLONE the current setup of a file into a new File.",2
This is a critical change to ensure that clients do not use the same file for different entities.,2
Lock abn and company type.,2
"Each ABN is a separate legal entity so can only belong to one Xero file. 
Both the ABN and legal entity type (eg sole trader, partnership, company) belong exclusively to each other and should be represented by separate Xero files and once set up not be allowed to change to prevent client disaster.",2
"Lock ABN & Company type. New ABN, new file. It’s a headache for Bookkeepers & Accountants.",2
Lock ABN and Company Type,2
For data keeping accuracy this is critical,2
"It would also help for reporting purposed; especially to Govt departments; if the ABN printed on Payroll Activity reports etc.

Actually it wouldn't hurt for it to print as part of all Xero reports by default.
As part of the report header information.",2
"This would be useful as it is difficult to find recent expenses, whether to check details or even that you have not already submitted.  

In some ways it seems crazy that Xero currently displays your submitted expenses in a random order.  Can't understand why it does not display in date order by default.",2
"I am new to this discussion, 3 years on and still not fixed. Very poor.",1
We also need this functionality.,2
"@Kelly. Great news. Question - will multiple 'client' email addresses flow through to tax payments module to issue tax payment letters for multiple recipients (i.e. the same way that the main email does now, just with more addresses)? That was one of the key reasons for multiple email addresses applicable to all NZ practices anyhow.",3
"Hi,

Would it be possible to look at allocating email addresses to default templates. For example:

Sales
Email 1 → Sales Invoices/Credit Notes/Quotes
Email 2 → Statements
Email 3 → Accounts

Purchases
Email 4 → Purchase Orders/Sales
Email 5 → Account
Email 6 → Remittances",2
"It is very frustrating to not be able to work with custom date ranges and have total columns that can produce percentages. We reopened our business part way through our financial year after a development, have multiple departments that we track, but can't do a report that covers, as an example, Aug-Feb crossing 2 financial years and get the total to date figures that you can get for YTD. It is a simple functionality that is absolutely needed.",1
"GoCardless is probably one of the worst payment gateways. They’ve just decided to deactivate our account with no prior warning and refused to give us a valid reason. You can imagine the time it will take to resetup all the clients which are currently on direct debit with gocardless.

Upon reading some reviews, it seems a lot of organisations are also facing this same issue. GoCardless apparently deactivated user accounts without warning and without reason. It’s plastered all over the internet with 1 star reviews. Why is Xero even in partnership with a payment gateway with such horrid customer service?

Please implement direct debit payments through Stripe.",1
Also the possibility to activate a bank 2-Steps-Verification process or bank onetime pin when using stripe integration,2
I'm just here to remind Stripe that their paying customers are asking for improvements to the platform that should be attended to. This is on of those improvements,2
"Xero, could we move this up the list of urgency as per the comments below please? It's very important that this feature is available for other entities and not just individuals. We shouldn't have to resort to other SBR tax providers....",2
Trust returns are important for those Deceased Estates that need to be wound up prior to the end of each Tax Year.,2
Deceased estates need to be prepared in advance so TRT feature would be most helpful,2
"Hi Xero team,

It feels like forever since you announced plans to develop Company Tax Returns (CTR) for the future. Could you provide an update on the progress? It's time to prepare early balance CTR again now.

Looking forward to your response!",2
"Hi Xero Team, 
Not long to go now before the 12 month anniversary of your post made on the 30th April 2024, which advised that you were working on the future returns function for company returns over the next 12 months. Where are we at?",1
We gave up waiting we use LodgeIT for future returns now.,1
Can I have feedback on user experience on LodgeIT - we are also considering using it,0
"Hi Kelly,
This future year CTR doesn't allow to pull the figures from Xero (blue files). Will this be the second phase of the development?

Thanks,",2
I literally completed a 2025 paper Trust return yesterday for a deceased estate that is being wound up...,2
"Good that future company returns can be done, but surely it isnt that hard to build one for trusts and partnerships too?",3
Any update?,2
"Any update on TTR's? As mentioned below several times, it would be very handy for winding up deceased estates.",2
"I had to complete a manual tax return for a simple estate, which via the ATO mandate, should have been processed in 28 days.  It took 3 months due to the return being a paper return. The ability to prepare a future return will just speed up the whole process.",2
Thank you :) This will make the finalisation of deceased estates and vesting of trusts so much easier.,3
Add the company account number to the list of fields that could be inserted into an invoice email. In the absence of the invoice export including the invoice url (something that would enable us to give our customers access to their invoice from within our SaaS platform) we could scrape the company number and invoice url from the emails generated and that would give us a decent work around.,2
Xero should allow for a contact export where you can have a column with the unique ID of each contact. That is quite helpful if you need to run a reconciliation with other systems.,2
"We are at risk of breaching a clients confidentiality as we aren't able to restrict clients files, timesheets, invoices only Tax and Xero Files. Would love to also be able to chose which person can't rather than all the ones that can (have both options) and also to restrict a whole Client Group as well as just each individual/entity",2
Does anyone have ideas on a work around for this? Or how they currently approach with the limitations? Ideally staff would only have access to and see the clients they are working on or a subset of the full client list. Seems crazy that this functionality is not available.,1
"It is imperative that we can hide partner and other staff income from other employees, it can create unnecessary friction when staff can see what the earnings are of others within the organisation. I am very suprised this hasn't been a top priority for Xero. Certain clients should only be accessible by certain staff.",1
Still nothing on this? Seems crazy that this hasn't been remedied. Seems like a basic function for a product that deals with sensitive information.,1
Great idea!,3
"With the updates to STP reporting, many clients are being found non-compliant on super payments.  To be able to easily reconcile payments made in Xero Super, it would be very useful to generate an Excel file of what was paid - how much, to whose fund, and what payroll period it belongs to.",2
"Hey Marianne I have just come across this issue and found a quick resolution. You can highlight the text above the table, where it says ""Total"" and Status"". You can then drag down to the bottom of the table of data, copy and paste into a spreadsheet and there you have it.

It took me grabbing one of our software developers and me showing him the issue for me to then just highlight above it and get the resolution myself!",3
This should be made possible .,2
"Hi there, it already 2025 and the future are still not available. Please do something about it. We have a lot of client with different currency.",1
"In addition to needing an employee detail report (a basic payroll requirement, I don't understand why it is still not available) you used to be able to see the employee leaving date on the employee history tab. This column has now been removed and replaced with the same column as on the current employee tab - next pay run date - which is totally unnecessary for former employees!

A backward step Xero",1
With a large payroll It is important that the reports can carry any information that has been entered in the set up e.g current position held . To allow analytical assessments to be made,2
"I can not believe there is not a report that you can run of employees with salary and start date . A very basic payroll report !!!!!!

I agree with this statement - great for checking when you have a payrise",1
"There's currently no payroll report that shows the employee numbers as well as employee names in Xero.

Please could we have it added to the payroll details and summary report, before we post the pay run, as when a few employees have similar names, it is easier to identify and investigate any anomalies and who they relate to, via the number not the name.",2
this is a critical report for payroll can you add this please?,1
Another user requesting - it seems a very basic function that would be very useful to us.,1
"Hi Kelly, it would very helpful if we could update the report codes directly on the chart of accounts page as well",2
"Absolutely need to edit the report code mapping directly from COA. This makes zero sense to have to add the code in one place, then navigate several pages away to then edit the mapping. Especially as Xero practice reports are reliant on accurate report code mapping.",2
I also need to be able to assign tracking categories to employees and the option to split the total between several tracking categories,2
Mindblowing that such a simple standard function is not available,1
"Wow, I thought I just hadn't figured out how to use expenses properly yet, but sounds like everyone has the same problems as I do. Its so time consuming trying to sort through old expenses. Impossible to tell if there's duplicates. Can't search or sort. I'm in disbelief that this is just how it is. Get your act together Xero!",1
"At the least, allow the data to be downloaded in csv...",2
"Adding another voice - incredible I can't easily sort by expense date, whether approved, draft etc, or by where spent. Such a critical thing to have to check for potential duplicates etc. Please fix!",1
It is ridiculous that employees cannot update this information in Xero Me.  Please fix this ASAP. Thanks,1
"Is there a good reason why employees can edit their personal details on Xero Me, but not their residential address? This doesn't make sense at all.",1
Please add this to the UK payroll!,2
just want confirmation that they have been sent,2
Staff Access to Xero Clients- I have more than 200 clients. I am struggling assigning the clients to my Team using new method especially when new team member join and i need to allocate 50 clients to him. Is it possible to allow old methods as an option who want to use that. It was more helpfull as I could  assign multiple clients at same  window instead of one by one in this new way. Also In new way client are in random order and there is no way sorting them in assending or desending order.,2
"In My Xero staff I could quickly review all clients and see which staff had which level of access and could update multiple client access for a staff member in seconds.

Now I have to click into each client , click staff and then change each staff member's access. A ten second job could now take hours!! 

It is essential Xero HQ staff has the same functionality or switch My Xero staff BACK ON!",1
Just short of 1200 clients and 208 staff. I really would like to be able to bulk edit the staff to client permissions.,2
"We used to be able to add staff to certain groups and that option has been taken away, which seems crazy",1
Has this been fixed?,2
Xero should be set to identify when someone is below the minimum wage,2
Very frustrating as he isn't a new director but I am taking over the payroll from someone else that has been running it this tax year. So far this year he was on the alternative system but xero won't let me continue this,1
very important,2
"This has been needed for years.
Freshbooks has allowed this for forever.",2
"I am getting an error when I copy a paid bill, it creates the new bill as a draft.  Sometimes it retains the previous bills total value and other times it doesn't. 
I override the quantity value and then save.... but the entry log retains the previous bills total value and the total value at the top reverts back to the previous paid bills value not the new entered value. This is random.",2
I was looking for this functionality for my payroll reporting as well. I would love to see it added to the Payroll Employee Summary report.,2
All the other accounting software allow you to 'fix' the reconciliation and will alert you if any changes are made that affect the bank balance. This is the main feature I find lacking in Xero.  Considering how often aswell there are times when the banks don't sync properly and therefore the balances don't match the actual paper statement I would like to do it and record it within Xero on a more regular basis,2
"Thanks for adding this feature. I'm trying it and I noticed that if you copy and paste a value with a $ in it, it will not paste properly. Sometimes when you copy paste opening or closing balances from PDF it copies including the dollar sign.

Please allow to paste the value with the $ in it.

Also, there doesnt seem to be any way of deleting a draft period. Please consider adding a small garbage bin icon in the period list and inside the period.

Thanks!",3
Will there be an option to attach the bank statement as a reference?  That would be helpful - you can attach files to all other transactions... this should be no different.,2
"No, we require the ability to lock the VAT period but have the accounting period open. This will allow the VAT period to remain unchanged but facilitate adjustment to the accounting period. Client that give invoices out of the VAT period create huge reconciliation problems, at the moment.",2
Critical need for us too - Date and period should be separate fields/options in the system - it's the only way to enable accurate reporting.,2
Please add this Xero as it would make all those you are converting over easier.  Given there are a number of items where Xero is short compared to Sage Handitax it would be good to have some of these resolved.  Thank you.,2
"Please add this to Xero, this would make it easier to estimate future instalments for the client.",2
I would really appreciate this NOT being the default as we don't like it included as it very often gives inaccurate estimates that we don't want to show the client. You should just be able to switch it on if you need it not the other way around.,1
"Omg Xero, why don't you understand requests properly???! 😂

Previously:
You want the option to print PAYGI? Too bad, you didn't change it on the estimates page from No to Yes. So you can't print it unless you unlock the return.

Xero:
We've not only given you the option to print PAYG Instalments - we're forcing you to 🙄

Leave it available in the print settings but default it to No! We don't want to print it every time, we just want to be able to print it sometimes and not need to unlock the return to do so! Seriously...

Why does Xero make changes that affect everyone on requests with only 38 votes..?",1
this is highly needed,2
Great to hear this will be released soon.,3
"Pleased to see some bulk changes can now be made on the Job Manager table, hopefully the ability to change the job status this way is not far off as it would be so useful for us.",2
"Oh yes those zeroes are such a time waster. In June 2025!
Even the prefill report from the ATO doesn't show Nil amounts, why does Xero create them?",1
"In the process of moving from Sage to Xero and am ""surprised"" that Xero doesn't do reports including nil balances.  When I say surprised, actually gobsmacked.  Its a pretty fundamental function",1
"This is SO BASIC it is infuriating that it is not there.

It is INTERESTING to note that there is a Report that is meant to show this; however, it is not.  I have raised a case with XERO; however, true to form, they can only double-talk me.  The case is CX0015946553 and the report is ""Trail Balance - all accounts incl NIL transactions"" is not showing the Nil Transactions 

XERO just seem to treat users with content - even when a report they have created is not working.

Come on, XERO, at least fix the reports that are there that are not working!",0
This would be really helpful to have all account codes on there.  Also on the P&L it would be great to have a choice as to whether accounts with no balance on are included or not.,2
"Kelly, it is such a basic feature! We must have Balance Sheet, Trial Balance and P&L with zero balance account shown. So, we can do mapping in Excel and many other reporting functions.

Also, could you please tell me why the budget report (it seems the only report that shows zero balance ledger accounts) has a different format for the ledger account name and number? Why is the account number located after the account name and in brackets??? It makes more harder for us to do mapping between the budget and P&L.",1
"When will this upgrade be available please? It is a pretty simpe upgrade.

Xero should add a check box that allows hiding of zero balance items.

The DEFAULT should be 'Export Everything' with the option to excude zero balance items.

I have 5 companies in different countries and all have the exact same GL with the idea that we can export an excel and simply consolidate across. Right now, it is a huge work to manually re allign alll the rows so I need to export ALL so that they will automatically match in EXCEL.",1
"I completely agree. We export our products to international markets, including the USA, and are expected to conform to their local requirements. Being able to correctly display customer's addresses on invoices, for example, is a fairly basic but nonetheless important function.",2
No brainer of a report,1
"This is even more important now that the leave dated has been dropped from the employee history screen since an upgrade.

I have ended up cobbling information together from an external source to identify leaver dates in the year for 20 out of 50 employees when preparing P11Ds this year which is just bonkers!",1
Auditors frequently ask for this information.,2
This report will save my time every month - it would really make my life easier.,2
"Why does XERO autofill the ""payment date"" to some weird date? Eg: I'm paying wages today (4 June 2024) and Xero autofills the payment date to 18 May 2024. If I didn't pick on this then IRD would fine us $250 for late filing and payment (trust me I've been burnt twice on this very issue). Xero should not autofill the payment date but leave it blank for us to fill in.",1
"We often run Unscheduled payrolls for late Timesheet hours, sometimes days or weeks later. Would like the payment date to default to Today - as seems pointless it defaulting to a date past when filing is no longer possible and only causes the headache of late filing penalties!",1
"DITTO -- New invoicing - bring back 'add new line' button and dropdown +5/+10...
This is an existing feature on classic invoicing, why would you drop it!",1
"As a critical point to this discussion we will require not just the ability to add 'one' line but as many lines as we require.
We cannot raise sales invoices without this change to the new invoicing process. Please make this a priority.",1
"I added a comment back in November 2024 so I believe this is extremely important to get sorted before the old invoicing is off.

New Invoicing -Option to Add Multiple New Lines at once (5, 10, 15 or 20)

When using Classic version of invoicing, there was an option to Add a new line and then a drop down option to Add 5, Add 10, Add 20 lines.

In the New version of invoicing, this option seems to have disappeared?

Please provide this option if this has not already been provided. I can only seem to add a new line after entering the first line of information.

I found the Add 5 and Add 10 lines really helpful when I'm copying similar job items down a list than having to tab across to get to the next line when I was preparing sales invoices.

Thanks.


https://productideas.xero.com/forums/939198-for-small-businesses/suggestions/49072613-new-invoicing-option-to-add-multiple-new-lines-at",1
"Reply to ''I appreciate that some customers have mentioned wanting to add multiple blank rows at once, and want to be open that this isn't planned with this release''.
This has to be a priority as we're unable to raise invoices unless we are able to add several lines - this is crucial to our operation. 
Please review this immediately, as I know we're not the only company.
If you had it in the Classic version, there is no reason why you can't add in the new version.",1
"Well.... classic invoicing has retired today and this feature has not been added, meanwhile I am currently having to raise an invoice with 42 lines in it, that has the same item 21 times on alternating lines.... so line 1 and 2 items are reapeated 21 times. The easiest way to way to do this on classic invoicing was to add as many lines as I needed then paste the item onto alternating lines for the first item and then repeat for the second item.

Now I have to either copy and paste lines one by one OR copy and paste all the lines required for one item, then all the lines required for the second item and then manually rearrange them into the correct order. What an absolute waste of time.",1
"Michelle - potential work around (not ideal but might save you time).  Make up a draft invoice (or draft quote) that can be easily copied to create a new invoice.  In this draft, make up your 42 lines but adding just 1 dot in the description field in each line.   Keep this draft as your template.  When it's time to make up an invoice, copy the template to create a new invoice - you can then paste in repeatedly into the lines you want  to overwrite the dot you originally put in.     If you're able to use a Produce or Service as your standard lines you put in repeatedly, even better.",2
Why did you try to fix something thats not broken. New invoicing is horrible,1
"Please bring this back I invoice lots of invoicing with multiple lines and it is taking me forever to get the lines up to invoice it was much quicker with multiple lines.
please please bring this back!!!",1
New invoicing is garbage ... PLEASE PLEASE PLEASE bring back the old invoicing.  It is critical that i add lines as the new invoicing does not look professional AT ALL.,0
"I need to be able to add multiple lines to invoices and not having this feature is frustrating.
Would it not be easier just to provide the option of Classic invoicing as an alternative.   It was far superior to the new version.",1
"New Invoicing - 'Find Address' field & 'Attention' field

We need the find address field as this helps verify the correct address was given by the customer.

We need the attention field as this is useful for notes other than the address (contact, c/-, contact number etc etc).",2
Make new invoicing fit on one screen - currently classic fits on one screen and is easy to use. Reduce the need to scroll and zoom/unzoom to have a consistent sizing approach across all invoicing/billing/reporting,2
"With the new invoicing, I need to scroll to see the whole invoice - we utilise the 2 category options.  If I remove one, its fine, but with the 2, I need to scroll across to see the amount.  Please can the layout go back to the more condensed version we had with classic.",2
"This is essential for any sort of audit trail.  Just having a note saying ""sent"" is completely unhelpful.  What if the client disputes that it was sent?  How do we have any sort of proof where it was sent.  We use this feature extensively to ensure we are sending the invoice to the correct address and is this is almost the sole reason we stopped using it.",1
"WHY IN THE BLASTED HECK DOES EVERYTHING HAVE SO MUCH WHITE SPACE NOW??
Despite our continuous comments, complains and sheer despair over the amount of added white space in the screens, and the HUGE, USELSS WHITE SPACE in the screens new ""Features"" seem t be getting worse and having more big fat stupid white space everywhere. 

I AM GOING INSANE.,  JUST TO ADD A NEW CODE WE NOW NEE DTO MOVE AND SCROLL THE CREEN. 
AAAARRRRRRRRHGGGGGGGGGGGGGGHHHHHHHHHHHHH

XERO!!!!!!!!!!!!!!!!!!!!!!

SERIOUSLY???????????????????????????  STOP!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0
Could we have the option for a compact view? It takes up too much space on the screen.,2
I agree with the comments here about an option for a compact view,2
"Seconded that - like the Bank Rec screen that I had to write custom CSS to un-clusterfk (which was so successful that Xero implemented most of it as 'compact mode').

This bloated shiny rounded **** just wastes time and space.

Add this detail to any TrustPilot reviews you leave!",0
"@Paul Hodges - Using a period ""."" is NOT working.

Please either add or amend functionality.",2
The '.' still does not seem to work in the invoice date field?  The '/' works fine.,2
"Similarly, when adding payments to invoices, the 'Date paid' section now requires you to click into it and select a date off the calendar, and also the 'Account' selection, I used to be able to start typing the account the payment went into and select it by entering, now I have to use the mouse for these two items.
Can you please fix this as well?",2
"In the payment screen in New Invoicing, it is not possible to tab to the date field.  Why??!!!  Why must I take my fingers off the keyboard and engage the mouse to get to the date field or to the bank account field?  Why can't I tab to the date field and enter the date from the key board and then tab to the bank account field and enter the account number?  This was standard data entry in Classic Invoicing.",1
Being unable to do things without using a mouse fails WCAG Criterion 2.1.1 and means that this part of the program fails at being Accessible - this needs to be escalated by emailing accessibility@xero.com,1
"I received this reply:

""Idea: Payment screen in New Invoicing
 
Hi all, in new invoicing you should be able to Tab to any of the fields on the page including the Add Payment button. Alternatively, using the shortcut Ctrl-Alt-Y will open the payments modal.

Once this opens it'll default to the Amount Paid field, and you can Tab across to the Date field. Pressing Enter, space bar, or the down arrow will open the calendar picker, and you can Tab, then use the arrow keys to select the date you want.

If you're not getting this same behaviour we'd recommend raising a case with our Xero Support team through Xero Central where we can get a closer look with you 1:1.""

It's too bad that the Product Team doesn't know how the product actually works.  I j just tried this again and in the ""Add Payment"" window, you can only tab between the Amount Paid field and the Reference field.  You cannot tab to the Date field or the Account field.  It requires a mouse click.",1
"It's absurd that this hasn't been implemented in OVER a year!  Off the top of my head, there are at least 3 different user interfaces for date fields and the same for the account field.

When entering a payment on an invoice, it is maddening having to type an amount, mouse-click the date, mouse-click the account, and then type a reference.  I cannot begin to describe how slow this feels or how much of a workflow impedance it is.

I don't understand why the date field behaviour and list selection behaviour are not defined re-useable components and therefore exactly the same EVERYWHERE that type of field appears.  It appears that whoever codes a feature is re-inventing the UI instead of using a single set of common components.

Come on, Xero, get it together!  It is an absolutely HORRIBLE user experience that is becoming more and more expected as the norm in Xero - Beautiful by design (my).

Edited by Community manager to remove profanity.",0
"@Scott Osburne you technically CAN tab through the fields in the payment pop-up, but to change the date, you have to press space or enter when the date field is highlighted, then tab several times to get to the grid of dates (with the mouse cursor NOT over the grid because if it's over the grid then tab exits the grid), use the arrow keys to find the one you want, then press enter or space (if you press tab it goes to the next field instead of changing the date) when you have the right one highlighted, AND THEN YOU HAVE TO SHIFT-TAB BACK FOUR TIMES TO THE ACCOUNT FIELD because the focus has dissipated and both tab and shift-tab move the focus to the Add button instead of the focus moving in a logical order (WCAG success criterion 2.4.3 failure).

If you could enter the date instead of having to tab and arrow etc it would be significantly fewer keypresses, even without the focus order failure.",1
Hello what is the update on this? The new invoicing is going live at the end of the month and we still can't edit the attention to name?,2
Moving the payment button to the bottom of the invoice as it is in classic would improve the flow of the invoice procedure.,2
"Why on earth would you think it was okay to remove the Invoice due date ""Today"" from the invoicing options??    I am sure I'm not the only person who invoices for payment in advance (ie pay today, your goods get shipped today) but now I have to actually select the date instead of choosing a nice simple button to select - adding more time to my invoicing day. 

It's the little things Xero!!",1
"It seams like everything they change just adds more clicks, not in any way is it reducing them! It is so frustrating and the lag/delay now is just adding even more time to complete simple tasks.",1
"The lag is ridiculous. You end up either doing the same task multiple times because it didn't register the first few times, or you miss a task because you think you've done it but you don't realise in your flow that it hasn't even saved (like adding attachments to an invoice).",1
Can we add an auto-save to the new invoices and cancel as well. thanks.,2
I'm here to add my frustration with the change to applying payments to invoices. Making it a button is HORRIBLE! Having to use a drop-down for the date is HORRIBLE! Please move it back to the way it was as a grid below the invoice. This redesign slows the process down AND has increased errors with dates. I'm glad to see you're planning to fix so that we can type in dates. Please get rid of the button and put the payment grid back where it was.,1
"Totally agree - the classic version is much better and faster than the new version in terms of all functionality.
Tried the new invoicing version, it took so long for it to load even with a couple of line items. Tried every month but see no improvement in this area. This is so inefficient and time wasting when you have so many invoices to raise each day.
Also, in the editing screen, you can't even see the full name of the GL Account, only the first 17 characters are showing. I even tried to zoom out of my browser, it still doesn't work. It's not user-friendly at all if you have to click on each GL code to review their full name for each line when you have 40-50 lines to review on the invoice. You also need to scroll horizontally to view all the invoice fields - again not user-friendly at all.
Besides that, the new auto-save function added maybe it's useful for some users. But, it would be great if we can choose to use that function or not. I'd prefer to make the changes and review the changes before clicking Save as draft.
I really hope the the classic version can stay. Or at least it should be extended to the point where all these issues have been resolved before you roll-out the new invoicing function. It's definitely worth for the product team to sit down and actually test out on the functions before they launch it.",1
